,bassa,french
672,"Ibale ba nôgda le mboñbéba a gwé ngôñ ni mahôla, i jam b’a téñ jon ‘l’a tiña ngii.’","S’ils estiment que quelqu’un a commis un péché et a besoin d’être discipliné, leur jugement sera déjà lié au ciel."
673,Nyambe nu ngii yosôna a’ téé ngim ane i yé le y’a tjiba bé kekikel.,Le Dieu du ciel établira un royaume qui ne sera jamais supprimé .
674,"I pot maliga, i neebe le Yéhôva nyen a yé bañga Djob inyule u ntehe nye a ñep hié hi nlôl i ngii inyu timbhe masoohe, li ta bé nson u hémle ikeñi.","Honnêtement, reconnaître que Jéhovah est le vrai Dieu lorsqu’on a vu du feu tomber du ciel en réponse à une prière n’est pas une démonstration de foi extraordinaire."
675,"I Kiñe Djob a bi téé yon i ga éga i énél i, ngui yosô i bi tina nye ibôdôl ngii ikepam hana isi.",Il est dirigé par un roi choisi par Dieu. Dieu a donné à ce roi tout pouvoir dans le ciel et sur la terre .
676,Nhook ni mbuu mpubi: Yéhôva a ngwélél mbuu mpubi wé inyu sébél mut nu a nlama ane ni Yésu i ngii.,Oindre d’esprit saint : Jéhovah utilise son esprit saint pour inviter une personne à régner avec Jésus au ciel.
677,"Inyule ngéda ba nlo i bitugne, bôlôm ba mbii bé, to bôda ba nke bé i mabii, ndi ba yé kiki biañgel i ngii.","En effet, quand ils ressusciteront, les hommes ne se marieront pas et les femmes ne seront pas données en mariage, mais ils seront comme des anges dans le ciel."
678,"I len ini, libim li bikristen li li tiñi ni Djob, li ta bé minhook.","Aujourd’hui, la plupart des chrétiens ne sont pas oints ; ils n’ont pas été choisis pour régner avec Christ au ciel."
679,"Inyu hala nyen me ñumul maboñ isi bisu bi Tata, inyu yé nyen mahaa momasôna i ngii ni ’isi ma ñôbna jôl.","Je plie les genoux devant le Père, à qui toute famille au ciel et sur la terre doit son nom ."
680,"Pétrô a ga gwélél hiliba hi bisu i Pentékôt 33 N.Y., inyu unda Lôk Yuda ni mbôn i i nhiel ñem kii ba nlama boñ inyu tohlana.",Pierre utilisera la première clé à la Pentecôte 33 de notre ère pour montrer aux Juifs et aux prosélytes repentants ce qu’ils doivent faire pour être sauvés.
681,"Hôñlaha bôt ño nkwel woñ mu ngéda yosôna u mba u nti nkwel, u tiimbaga balôm ba bibuk ba ño nkwel tole u gwéélak bibuk bipe bi bi gwé nlélém ndoñi.",Rappelle le thème de ton discours tout au long de son développement par la répétition des mots clés du thème ou par l’emploi de synonymes.
682,Mam ba gwé ma kôli ni bo.,C’est la clé du contentement.
684,PÉTRÔ A NKÔS DILIBA DI ANE,PIERRE REÇOIT LES CLÉS DU ROYAUME
685,"Bat mambadga mape; ibale hala a yé nseñ, yigye balôm ba mam.","Si nécessaire, pose d’autres questions pour faire ressortir des idées clés."
686,"Ibale u nla, gwélél miñañ mi mi nlôôha bé yiba, tole manwin ma ma nsôk pam, inyu toñol balôm ba mahoñol.","Si possible, illustre les idées clés par des informations peu connues ou des faits d’actualité."
687,Tik matjél mé ma nkobol bés.,Son précieux sang fournit la clé.
688,Yésu a nkal kii i yé hiliba hi maséé,Jésus révèle la clé du bonheur
691,"Yésu a nkônde le: Ngoo ni bé ba ni nyi mbén Môsi ngandak, inyule ni bi sôô bôt njel i bana yi.","Jésus poursuit : Malheur à vous qui êtes spécialistes de la Loi, parce que vous avez enlevé la clé de la connaissance."
692,Jubus hiki nlôñ u Bibel nya i i nhôla bôt ba ñemble we i tibil nok nlôm litode li nlôñ u Bibel u nyéñ toñol.,Introduis chaque passage d’une façon qui attire l’attention de tes auditeurs sur l’idée clé que tu veux en faire ressortir.
693,Kii i yé hiliba hi maséé ikété ndap lihaa?,Quelle est la clé du bonheur familial ?
694,75 Yésu a nkal kii i yé hiliba hi maséé,75 Jésus révèle la clé du bonheur
695,"Tolakii Ete nyen a bé éga bôlô i lôñôl bijek bipôs, a bé ti ndémbél ilam i suhulnyu i pañ lôk kéé i bôlôm i i bé bakena wom.","Même si elle jouait un rôle clé, elle veillait à toujours respecter les frères responsables de la ferme."
696,Maéba 7 mam ma yé mahee,Clé no 7 Valeurs
698,"Kiki bôlôm ni bôda bobasô ba ta bé peles, ba nlama nwéhlana; hala a yé hiliba hiada inyu boñ le libii li ba masé.","Étant donné que tous les maris et les femmes sont imparfaits, une clé du bonheur conjugal est d’apprendre à pardonner."
699,"Bat mbadga i i ntinde bôt i hek pék, ngeñ u nyéñ jubus biniigana bi mahee.","Pour introduire une pensée clé, pose des questions qui piquent la curiosité."
700,Maéba 11 I ba mut bôlô,Clé no 11 Ardeur au travail
701,"Ibale u njubus nlôñ u Bibel, u ban-ga njom ilam i añ wo, unda maada balôm ba bibuk ba nlôñ u Bibel unu ba gwé ni i njom i.","Si, pour introduire le verset, tu as indiqué une raison claire de le lire, explique le rapport entre les mots clés du verset et cette raison."
702,Maéba inyu maséé ma ndap lihaa,clés du bonheur familial
703,A mbôn Pétrô le: M’a ti we diliba di Ane ngii.,Il promet à Pierre : Je te donnerai les clés du royaume des cieux .
705,"A nkal le: Letee ni i len ini, me ngi jok ni hiun, inyule me bi nañ i lihaa i het hiki mut a bé bep unup.","Elle admet : Comme j’ai grandi dans une famille où tout le monde se mettait souvent en colère, je dois lutter aujourd’hui encore contre ce sentiment."
706,Hiun Yéhôva a bééna inyu bôt ba Ninivé hi bi sôs ndigi.,La juste colère de Jéhovah contre les Ninivites est tout bonnement retombée.
707,"I mbus, a mbat le: Ibale ni nkwee mut i kel sabat kayéle ni bôk bañ mbén Môsi, inyuki ni nlôôha unbene me inyule me mélés mut kon wé wonsôna i kel sabat?","Puis il demande : Si un homme reçoit la circoncision un jour de sabbat afin que la Loi de Moïse soit respectée, pourquoi cette explosion de colère contre moi parce que j’ai guéri complètement un homme un jour de sabbat ?"
708,"Ngéda David a nok i jam ngwañ mut u boñ, hiun hié hi kala.","En entendant ce que cet homme riche avait fait, David s’est mis très en colère."
709,Kii i bi hôla Stephen i nwas hiun ni bibuk bibe?,Qu’est- ce qui a aidé Stephen à chasser la colère et les grossièretés ?
710,"Hiun hi nla tééñga mbôô nan, ndi i tééda hio i nla ki ba ndutu.","Se laisser aller à la colère peut nuire à la santé, mais la contenir peut aussi être néfaste."
711,"Baéga base ba unup, ba kahal yéñ manjel i nol baôma.",Les chefs religieux étaient tellement en colère qu’ils ont voulu tuer les apôtres.
712,"Inyu unda gwéha i kristen, di nlama yéñ loñge i bôt bape, di nwas ki nyumba","Pour manifester l’amour comme Jésus, nous devons mettre les intérêts des autres en premier et ne pas nous mettre en colère ."
713,"Ndi biprisi, ni bôt ba bé sébél le Sadukai, ba bi unup.",Mais les prêtres et les sadducéens étaient en colère.
714,"Ibale bagwal ba nleñ nye bibuk bibe, tole ba kogse nye ikété hiun, bebeg le hala a ga wéha mañge nyuu, a nyégsa ki nye i yip nyo wé.",Peut-être que des paroles dures ou une punition sous le coup de la colère l’embarrasseront ou le feront taire.
715,"A nkal le: Ngéda ba bé tééñga me, me bi tééda pes kaat i Bingéngén 19:11 mahoñol, i i nkal le: Mut yihe a mpala bé nyai.","Elle explique : Quand des gens réagissent avec agressivité, j’essaie de penser à Proverbes 19:11, qui dit : La perspicacité d’un homme retarde sa colère."
716,Baa hala a nhélés we,"Cela te surprend- il, ou même cela te met- il en colère ?"
717,"Woñi, hiun, i ômba nsohi.","Des périodes d’anxiété, de colère et de culpabilité."
718,"Iloole a tam béba yé, Yôna a mbôdôl kaa, a kal le: Me mboñ loñge i kala ni hiun nya i yé le me kôli wo.","Au lieu de se repentir, Yona se justifie : C’est avec raison que je me suis enflammé de colère, jusqu’à la mort."
719,"Kiki hihéga, kii i ga pémél bés ibale di nyoñ makidik ngéda di yé ñunbak?","Par exemple, que pourrait- il se passer si nous prenions une décision sous le coup de la colère ?"
720,Satan a yé ñunbak inyule a ngi gwé ndigi ndék isii ngéda ilole Djob a ntjé nye.,Satan est en colère : il sait que Dieu va bientôt le faire disparaître.
721,"Paul a bi béhe bikristen le: Hénana lôlha ôa yosôna ikété nan, ni nyai, ni hiun, ni jenakiñ, ni liôbôsjôl.","Paul a exhorté les chrétiens : Que toute amertume malveillante, et fureur, et colère, et cri, et injure, soient enlevés de chez vous."
722,"Lelaa ni nla gwel hiun hinan ngéda ñem u nloñ bé, tole ngéda ba nsuu bé jomol tole bisañ?",Comment maîtriser sa colère quand l’atmosphère est tendue ?
723,"A bagwéha, ni pun bañ bébomede, ndi tina ndigi hiun hi Nyambe pôla.","Mes bien-aimés, ne vous vengez pas vous- mêmes, mais laissez agir la colère de Dieu ."
724,"Inyule Nsohop a yé ñunbak, lakii a nyi le a ngi gwé ndigi ndék isii ngéda.",Parce que le Diable est très en colère : il sait qu’il ne lui reste qu’une courte période .
725,"Ba yé ñunbak ngéda mut a nti nyemede nkikip yak Yéhôva, ni i ngéda a nsôblana.","Et quand quelqu’un voue sa vie à Jéhovah et se fait baptiser, ils sont en colère."
726,"Ngéda kiñe i bi nok le nkol u ntjél nwéhél manyañ inyu isii pil, a unup kiyaga.","Quand le roi a appris qu’il n’avait pas annulé une si petite dette, il s’est mis en colère."
727,Yéhôva a ntémb a bat Yôna ibale a kôli unup hala inyule e i nwo.,"Jéhovah redemande à Yona s’il a raison de se mettre en colère, à présent à cause de la mort du lagenaria."
728,"Maselna ni maséé biañgel bi nok, ngim bihégél bi mbuu bi mbéñge sôble ikété hiun hikeñi.","Par contre, il existe d’autres créatures spirituelles qui, elles, sont dans une colère terrible lors des baptêmes."
729,"Jam lipe li yé le Djob a mboñ bé mam ndik inyule ngim yom i nhénd nye ñem, kiki bôt ba binam ba mbéna boñ ngéda ba nkala ni hiun.","De plus, il ne décide pas de ses actions dans un mouvement de colère, contrairement à beaucoup d’humains."
730,"Inoñnaga ni kaat Manyodi 23:9, lelaa litén li Djob li kôba li bé lama tééda bakén, inyuki?","D’après Exode 23:9, comment les serviteurs de Dieu devaient- ils traiter les étrangers, et pourquoi ?"
731,Lelaa Yéhôva a nkônde sayap Hana?,b) Comment Jéhovah bénit- il Hanna ?
732,Lelaa ni nyañ a ga kodol nye?,Comment sa mère va- t- elle le discipliner ?
733,Lelaa Éliézer a bi pam i yi le Rébéka a bé muda Isak a bé lama bii?,Comment Éliézer a- t- il compris que Rébecca était la femme qu’il fallait pour Isaac ?
734,Noode ki hoñol lelaa w’a gwés le bape ba leege we ibale wen u mboma nlélém jam.,"Dans une telle situation, comment aimerais- tu que l’on agisse avec toi ?"
735,Mambadga: Kii Yésu a bi kal banigil bé inyu niiga bo masoohe?,"Questions : D’après ce que Jésus a enseigné, comment doit- on prier ?"
737,Lelaa bibuk bi Maria bi ñunda . . .,Comment les paroles de Marie font- elles ressortir...
738,"Lelaa Yésu a ñom baôma bé 12 likalô, mambe maéba a nti bo?","Comment Jésus envoie- t- il ses apôtres prêcher, et quelles instructions leur donne- t- il ?"
739,Lelaa Abraham a bi éba le a bé bôdôl Djob ñem?,Comment Abraham a- t- il démontré sa confiance en Dieu ?
740,"Ba kalak le, lelaa a nla kal le: Men me yé koga i nlôl i ngii.",Comment peut- il prétendre être le pain qui est descendu du ciel ?
741,"Lelaa di nla yi i bet ba gwé libak lilam inyu niñ boga, ni lelaa di nla léba bo?",Comment trouver ceux qui ont l’état d’esprit qu’il faut pour avoir la vie éternelle ?
742,"I len ini, bôt bahogi ba ñôm Bibel nsohi le ñañ u pééna i hikôa hi Karmel u mbep mal.","De nos jours, des commentateurs de la Bible critiquent le dénouement de cette épreuve sur le mont Carmel."
743,Niñ i bé lelaa ikété paradis?,Comment était la vie au début ?
744,Lelaa bagwal ba bi boñ inyu tééda hémle ngui?,b) Comment ce couple est- il resté fort spirituellement ?
745,Bimbe biniigana di ñôt i ñañ u Yéfta bo ngond yé? Lelaa di nla kôna bo?,"Qu’avons- nous appris de l’histoire de Yiphtah et sa fille, et comment pouvons- nous les imiter ?"
746,Lelaa Yéhôva a nhôla bés ngéda di mboñ biliya i bugus mam ma mbuu i niñ yés?,b) Comment Jéhovah peut- il nous aider si nous avons le bon point de vue sur notre situation ?
747,Lelaa bañga yi i Djob i bi hôla Hiôb?,Comment une connaissance exacte de Dieu a été utile à Job.
748,Lelaa di nhaba ngéda di nke i makoda ni i likalô?,Comment nous habillons- nous pour les réunions ou la prédication ?
749,Lelaa ngui i botñem i nla suhus nduña?,Comment l’espérance peut- elle réduire nos inquiétudes ?
751,Lelaa di nla ti bôt makénd i nya i ntihba toi miñem nwap?,Comment donner des encouragements efficaces ?
752,"Lelaa di nla ba nkwoog nkaa le hipa hi Satan hi, hi yumus bañ bés?",Comment faire en sorte que le stratagème de Satan ne réussisse pas à nous influencer ?
753,Lelaa Sita Pötzinger* a bi gwélél ngéda yé ni pék i ngeñ a bé i ndap yé mok nyetama?,Comment sœur Pötzinger* a- t- elle utilisé son temps avec sagesse durant son isolement ?
754,"Lelaa Yéhôva a boñ le litén jé li nôgda le a ntat jo, a tohlak ki jo?",Comment Jéhovah les a- t- il aidés à se sentir en sécurité ?
755,Nyuu yés ni mambot més.,Notre corps et nos vêtements.
756,"I mbus nyemb yé, ba ntôp nye nyuu",Son corps est transpercé après sa mort
757,"Bôt bape ba nhoñol le bayômi ba gwé mbuu u u nwo bé, u u nkônde niñ mbus nyemb nyu.",Il en est qui croient que les vivants possèdent une âme immortelle qui reste en vie après la mort du corps.
758,Yimbne i nyuu yem ini. . . .,Ceci représente mon corps [...].
759,"Mbus nyemb Yésu, ngwañ mut wada le Yôsep, u bat Pilatô kunde i héa mim u Yésu i ngii kék.","Après la mort de Jésus, un homme riche qui s’appelait Joseph a demandé à Pilate la permission de descendre le corps de Jésus du poteau."
760,"Abner, ntat Saulô, a bé ke ’ilo.","Même Abner, le garde du corps de Saül, dormait."
761,"Ma maboñok ma yé mabe inyule ma yilha bés minkol nwap, ma nkônôs manyu més, ni ma yé nyega.","Ces pratiques sont mauvaises pour trois raisons : 1) elles rendent esclaves, 2) elles abîment le corps, et 3) elles sont impures ."
762,"▪ BASE MALIGA I ÑUMUS MAHAA NI HÔLA BÔT I BANA BILEM BILAM: Base maliga i niiga bôlôm le ba ‘gwés baa bap kikii bomede,’ i nhôla bôda le ba hôlôs ‘lipém li li nlôl ñem inyu balôm bap,’ i niiga yak boñge le ‘ba nôgôl bagwal bap.’","▪ CONSOLIDE LES FAMILLES ET OBSERVE DES NORMES MORALES ÉLEVÉES : La vraie religion apprend aux maris à aimer leurs femmes comme leurs propres corps , aide les femmes à acquérir ‘ un profond respect pour leurs maris ’, et enseigne aux enfants qu’ils doivent ‘ obéir à leurs parents ’."
763,"Kunda yada, nyuu i mbôdôl sal inyu kit matjél, yibil minkañ, mélés mbabaa, ni lédés nsôn.","Le corps entre aussitôt en action pour arrêter le saignement, dilater les vaisseaux sanguins, réparer la blessure et renforcer les tissus."
764,"Marta, nu a nsélés boña kiki lem, a mpala kal le mim u nlama numb inyule hala a yé dilo dina nano le Lasarô a bi wo.","Marthe, qui comme d’habitude a l’esprit pratique, fait remarquer que le corps doit sentir, quatre jours après le décès."
765,"Ndik i mbus sôñ bôô nyen i hiomom hi bisu hi, hi nhielba nkéñéé man u yak wo u gwé didun di didun di tjomom.","En à peine neuf mois, cette première cellule est devenue un tout petit corps humain fait de milliards de cellules."
766,"Nyuu yé i bi bol kôba, i yila nluñ ték hala a yé bebee le 6 000 ñwii len.","Il ne reste plus rien de son corps, devenu poussière il y a près de 6 000 ans."
767,"I bôt ba yé tagbe ba ntehe bañ kiki mim mi yé i mbégdé, ba njôp i tison pubhaga inyu añle bôt mam ba ntip tehe.",Des passants qui voient ces corps entrent dans la ville sainte et rapportent la nouvelle .
768,Ba nlép mim u Yésu ni bibandas bi bi gwé binunumba kiki lem i Lôk Yuda.,"Tous deux enveloppent alors le corps de Jésus dans des toiles de lin, avec les aromates, selon la coutume des Juifs pour les enterrements."
769,"Yimbe maboñog mé, u emble ki kiñ a ngwélél, inyu tibil nok nye",Soyez attentif au langage du corps et au ton de la voix de votre conjoint.
770,133 Mim u Yésu u yé nkôôbaga inyu majôna,133 Le corps de Jésus est préparé et enterré
771,A nkwo i ngii liaa a wo.,Son corps s’écrase sur les rochers en contrebas .
772,Pék i Djob i ntibil yaga bé nene homa numpe kiki ikété nyuu mut binam.,"Mais là où la sagesse merveilleuse de Dieu se voit le plus, c’est dans le corps humain !"
